name,fk_country_name
Aysén del General Carlos Ibáñez del Campo,Chile
Antofagasta,Chile
Arica y Parinacota,Chile
Araucanía,Chile
Atacama,Chile
Biobío,Chile
Coquimbo,Chile
Libertador General Bernardo O'Higgins,Chile
Los Lagos,Chile
Los Ríos,Chile
Magallanes y la Antártica Chilena,Chile
Maule,Chile
Ñuble,Chile
Metropolitana de Santiago,Chile
Tarapacá,Chile
Valparaíso,Chile
